building_name,year_started,year_gone,valuation,url
Farm House,1860,,"36,234",/texts/buildings/070day-farm-house/
"Cattle Barn (Old)","1860,73",1928,"10,000",/texts/buildings/035day-cattle-barn-first/
Main,"1864,71","1901,02","150,000",/texts/buildings/132day-main/
South Hall,"1868,71",1912,"4,500",/texts/buildings/201day-south-hall/
Music Hall,"1868,99",1978,"6,000",/texts/buildings/149day-music-hall/
Marston Cottage,1868,1958,"5,200",/texts/buildings/135day-marston-cottage/
"Chemical Laboratory","1870,73",1913,"25,000",/texts/buildings/038day-chemical-physical-lab/
"Horse Barn (First)",1870,1900,500,/texts/buildings/104day-horse-barn-first/
Workshop,1870,1898,"5,000",/texts/buildings/228day-workshop/
"Mortensen Cottage","1877,84",1927,"2,250",/texts/buildings/147day-mortensen-cottage/
Pope Cottage,1877,,"2,700",/texts/buildings/170day-pope-cottage/
Eastwood Cottage,1878,ca. 1890,400,/texts/buildings/058day-eastwood-cottage/
"Creamery (First)","1879,82",1927,700,/texts/buildings/048day-creamery-first/
Fair Oaks Mansion,1879,1899(?),?,/texts/buildings/068day-fair-oaks-mansion/
Farm Boarding Club,1879,1970,800,/texts/buildings/069day-farm-boarding-club/
Gables,1879,1963,"10,000",/texts/buildings/086day-gables/
"Boarding Cottage - West",1880,1934,"7,500",/texts/buildings/024day-boarding-west/
Feeding Barn,1880,1901,600,/texts/buildings/072day-feeding-barn/
North Hall,1880,1926,"10,455",/texts/buildings/152day-north-hall/
"Horticulture Barn (First)",1880,1899(?),200,/texts/buildings/107day-horticulture-barn-first/
"Boarding Cottage - East",1882,1907,"2,500",/texts/buildings/023day-boarding-east/
"Farm Laborer's Cottage",1882,1904,"2,500",/texts/buildings/071day-farm-laborers-cottage/
"Grounds Cottage",1882,1970,"2,500",/texts/buildings/094day-grounds-cottage/
"Laboratory of Mechanics","1882,84",,"28,053",/texts/buildings/123day-lab-mechanics/
Osborn Cottage,1882,,"2,000",/texts/buildings/160day-osborn-cottage/
Sloss House,1882,,"8,500",/texts/buildings/198day-sloss-house/
Gymnasium,1883,1886,?,/texts/buildings/097day-gymnasium/
Veterinary Barn,1883,1899(?),200(?),/texts/buildings/217day-veterinary-barn/
"English Office Building",1884,,"6,000",/texts/buildings/064day-english-office/
"Sanitary Building",1884,1927,"5,000",/texts/buildings/187dy-sanitary/
"Veterinary Hospital",1884,1926,"2,500",/texts/buildings/219day-veterinary-hospital/
"Bevier House",1888,,"10,500",/texts/buildings/019day-bevier-house/
"Coburn House",1888,1975,"8,000",/texts/buildings/041day-coburn-house/
"Morill Hall",1890,,"71,025",/texts/buildings/146day-morrill-hall/
"Teamster's Cottage No. 2",1890,1970,"2,000",/texts/buildings/211day-teamsters-cottage/
"Creamery (Second)",1891,1905,"12,000",/texts/buildings/049day-creamery-second/
"Power Station",1891,1912,"2,500",/texts/buildings/173day-power-station/
"Botany Hall","1892,03",,"122,036",/texts/buildings/027day-botany-hall/
Hub,1892,,"19,939",/texts/buildings/113day-hub/
"Experimental Barn",1894,1901,"4,000",/texts/buildings/066day-experimental-barn/
"Margaret Hall",1894,1938,"50,000",/texts/buildings/134day-margaret-hall/
"Green House","1896,03",1968,"5,000",/texts/buildings/091day-greenhouse/
"Building A",1897,1973,"4,500",/texts/buildings/029day-building-a/
Campanile,1897,,"6,600",/texts/buildings/031day-campanile/
"Aerospace Laboratory",1898,1973,"6,596",/texts/buildings/001day-aerospace-lab/
"Engineer's Cottage",1898,1970,"3,000",/texts/buildings/063day-engineers-cottage/
"Kildee Cottage",1900,1973,"5,050",/texts/buildings/119day-kildee-cottage/
Knoll,1900,,"41,623",/texts/buildings/122day-knoll/
"Landscape Architecture",1900,,"27,800",/texts/buildings/124day-landscape-architecture/
"Marston Hall",1900,,"287,275",/texts/buildings/136day-marston-hall/
"Norton House",1900,,"10,300",/texts/buildings/154day-norton-house/
"Theater Workshop",1900,1979,"4,000",/texts/buildings/213day-theater-workshop/
"Beyer House",1901,1948,"9,700",/texts/buildings/021day-beyer-house/
"Emergency Hall",1901,1906,"11,200",/texts/buildings/060day-emergency-hall/
"Horticulture Lab (Old)",1901,1978,"8,000",/texts/buildings/112day-horticulture-lab-old/
"White House, Georgia",1901,1972,"11,500",/texts/buildings/227day-georgia-white-house/
"Experiment Station Barn",1902,1922,"17,100",/texts/buildings/067day-experiment-station-barn/
"Agronomy Farm Crops Lab.",1903,1972,"12,000",/texts/buildings/005day-agronomy-crop-lab/
"Beardshear Hall",1903,,"604,630",/texts/buildings/017day-beardshear-hall/
"Lincoln Way Cottage",1903,1973,"8,000",/texts/buildings/127day-lincoln-way-cottage/
"Safford Cottage",1903,1958,"5,700",/texts/buildings/186day-safford-cottage/
"Alumni Hall",1904,,*,/texts/buildings/009day-alumni-hall/
"East Hall",1904,,"67,000",/texts/buildings/056day-east-hall/
"Horticulture Barn",1904,1949,"10,300",/texts/buildings/108day-horticulture-barn/
"Beach House",1905,1961,"9,000",/texts/buildings/016day-beach-house/
"Training Shed",1905,1912-13,?,/texts/buildings/215day-training-shed/
"Building B",1906,,"12,922",/texts/buildings/030day-building-b/
"Curtiss Hall",1906,,"340,000",/texts/buildings/050day-curtiss-hall/
"Power & Heating Plant",1906,,"1,366,312",/texts/buildings/172day-power-heating-plant/
"Machine Shop",1907,,"(See Mech. Engr. Lab.)",/texts/buildings/139day-mechanical-engineering-lab/
"Central Station",1908,1933,500,/texts/buildings/037day-central-station/
"Engineering Annex",1909,,"88,100",/texts/buildings/061day-engineering-annex/
"Domestic Technology Bldg.",1910,(See MacKay Hall),,/texts/buildings/131day-mackay-lebaron-hall/
Quadrangle,1910,,"707,464",/texts/buildings/178day-quadrangle/
"Carpenter Shop",1911,1972,"1,500",/texts/buildings/032day-carpenter-shop/
"State Gymnasium",1911,,"195,040",/texts/buildings/206day-state-gym/
"Herdsman's Cottage",1912,1966,"2,000",/texts/buildings/100day-herdsmans-cottage/
"Engineering Research Institute",1913,,"87,525",/texts/buildings/062day-engineering-research-inst/
"Gilman Hall","1913,63",,"2,642,662",/texts/buildings/089day-gilman-hall/
"Serum Plant",1913,1926,"11,821",/texts/buildings/194day-serum-plant/
"South Studio",1913,1925,"2,000",/texts/buildings/202day-south-studio/
"Steam & Gas Laboratory",1913,(See Mech. Engr. Lab.),,/texts/buildings/139day-mechanical-engineering-lab/
"Agric. Engineering Garage",1914,1925 (or 6),"1,000",/texts/buildings/002day-agricultural-eng-garage/
