number,building_name,year,building_url
1,Farm House,1875,
2,Cattle Barn,1875,
3,Horse Barn,1875,
4,Windmill,1875,
5,Sheep Barns,1875,
6,President's Barn,1875,
7,South Hall (President's House),1875,
8,Music Hall (Professor's House),1875,
8A,Barn (Jones),1875,
9,Marston Cottage (Professor's House),1875,
10,Workshop,1875,
11,Chemical and Physical Laboratory,1875,
12,Main (College),1875,
13,Gas Works,1875,
14,Coal and Ice Houses,1875,
1,Main,1898,
2,Hub (Motor Depot),1898,
3,Morrill Hall,1898,
4,Farm Boarding Club (Hort. Lab),1898,
5,Margaret Hall,1898,
6,North Hall,1898,
7,Bevier House (Exp. Sta. Bldg.),1898,
8,Botany Hall (Agricultural Hall),1898,
9,Greenhouses,1898,
10,Engineer's Cottage (Edgerton),1898,
11,Teamster's Cottage No. 2 (Exp. Sta. Foreman),1898,
12,Machine Shed (Granary),1898,
13,Cattle Barn (Farm Barn),1898,
14,Granary,1898,
15,Horse Barn (First),1898,
16,Windmill,1898,
17,Feeding Barn,1898,
18,Experimental Barn,1898,
19,Hog House,1898,
20,Sheep Barns,1898,
21,Creamery (First); (Farm Foreman's Cottage),1898,
22,Farm House,1898,
23,Mortensen Cottage (Budd House),1898,
24,Farm Laborer's Cottage (McKay House),1898,
25,Creamery (Second),1898,
26,Ice House,1898,
27,Hog House,1898,
28,Settling Tanks,1898,
29,Filter Beds,1898,
30,Coburn House (Knapp House),1898,
31,Osborn Cottage,1898,
32,Sloss House (Bissell House),1898,
33,South Hall (Music Hall),1898,
34,Campanile,1898,
35,Veterinary Hospital,1898,
36,Sanitary Building,1898,
37,Music Hall (Stanton House),1898,
38,English Office Building (Office Building),1898,
39,Chemical and Physical Laboratory,1898,
40,Boarding Cottage - East (Kirkwood Hall),1898,
41,Boarding Cottage - West (Stanton Hall),1898,
42,Marston Cottage,1898,
43,Horticulture Barn (first),1898,
44,Laboratory of Mechanics (Engineering Hall),1898,
45,Power Station,1898,
46,Building 'A' (Foundry),1898,
47,Aerospace Lab (Carpenter Shop),1898,
48,Water Tower,1898,
49,Veterinary Barn (Bus House),1898,
50,Grounds Cottage (Sexton Cottage),1898,
51,Barn,1898,
52,Barn,1898,
1,Beardshear Hall (Central),1915,
